#,ChestID,Column,Cluster,Number,Categories,Description,Locked,Framed
384,V1-6,V,1,6,Rare & Boss Mob Drops,,EMPTY,
385,V1-7,V,1,7,Rare & Boss Mob Drops,,EMPTY,
386,V1-8,V,1,8,Rare & Boss Mob Drops,,EMPTY,
387,V1-9,V,1,9,Rare & Boss Mob Drops,,EMPTY,
388,V2-1,V,2,1,Mob Drops & Loot,Ink Sac,Yes,Yes
389,V2-2,V,2,2,Mob Drops & Loot,Leather,Yes,Yes
390,V2-3,V,2,3,Mob Drops & Loot,Magma Cream,Yes,Yes
391,V2-4,V,2,4,Mob Drops & Loot,Nautilus Shell,Yes,Yes
392,V2-5,V,2,5,Mob Drops & Loot,Phantom Membrane,Yes,Yes
393,V2-6,V,2,6,Mob Drops & Loot,Rotten Flesh,Yes,Yes
394,V2-7,V,2,7,Mob Drops & Loot,Slimeball,Yes,Yes
395,V2-8,V,2,8,Mob Drops & Loot,Spider Eye,Yes,Yes
396,V2-9,V,2,9,Mob Drops & Loot,String,Yes,Yes
397,W1-1,W,1,1,UNUSED,,EMPTY,
398,W1-2,W,1,2,UNUSED,,EMPTY,
399,W1-3,W,1,3,UNUSED,,EMPTY,
400,W1-4,W,1,4,UNUSED,,EMPTY,
401,W1-5,W,1,5,UNUSED,,EMPTY,
402,W1-6,W,1,6,UNUSED,,EMPTY,
403,W1-7,W,1,7,UNUSED,,EMPTY,
404,W1-8,W,1,8,UNUSED,,EMPTY,
405,W1-9,W,1,9,UNUSED,,EMPTY,
406,W2-1,W,2,1,Mob Drops & Loot,TNT,,
407,W2-2,W,2,2,Mob Drops & Loot,Wind Charges,,
408,W2-3,W,2,3,Mob Drops & Loot,,EMPTY,
409,W2-4,W,2,4,Mob Drops & Loot,,EMPTY,
410,W2-5,W,2,5,Mob Drops & Loot,,EMPTY,
411,W2-6,W,2,6,Mob Drops & Loot,,EMPTY,
412,W2-7,W,2,7,Mob Drops & Loot,,EMPTY,
413,W2-8,W,2,8,Mob Drops & Loot,,EMPTY,
414,W2-9,W,2,9,Mob Drops & Loot,,EMPTY,
415,X1-1,X,1,1,UNUSED,,EMPTY,
416,X1-2,X,1,2,UNUSED,,EMPTY,
417,X1-3,X,1,3,UNUSED,,EMPTY,
418,X1-4,X,1,4,UNUSED,,EMPTY,
419,X1-5,X,1,5,UNUSED,,EMPTY,
420,X1-6,X,1,6,UNUSED,,EMPTY,
421,X1-7,X,1,7,UNUSED,,EMPTY,
422,X1-8,X,1,8,UNUSED,,EMPTY,
423,X1-9,X,1,9,UNUSED,,EMPTY,
424,X2-1,X,2,1,UNUSED,,EMPTY,
425,X2-2,X,2,2,UNUSED,,EMPTY,
426,X2-3,X,2,3,UNUSED,,EMPTY,
427,X2-4,X,2,4,UNUSED,,EMPTY,
428,X2-5,X,2,5,UNUSED,,EMPTY,
429,X2-6,X,2,6,UNUSED,,EMPTY,
430,X2-7,X,2,7,UNUSED,,EMPTY,
431,X2-8,X,2,8,UNUSED,,EMPTY,
432,X2-9,X,2,9,UNUSED,,EMPTY,
